model_name,panel,ground_truth_class,model_family,params_M,hidden_size,onnx_size_MB,verdict,verdict_legacy,n_syntactic,n_admitted,additive_reject,epsilon,ibp_blowup,ibp_time_sec,pre_surgery_verdict,pre_surgery_epsilon,mgrs_k_removed,post_surgery_verdict,post_surgery_epsilon,eps_star,delta,pgd_detected,source_experiment,source_json_file,n_admitted_new,epsilon_new,verdict_new
H3_MulIndicatorGated,backdoor,backdoor-add-DGP,CNN,,,,add-DGP-CLASS-NEGATIVE,DORMANT,,,,4.211620018351823,,,,,,,,4.211620018351823,0.18219247460365295,True,E1,e1_final_results.json,1,4.211620,add-DGP-CERTIFIED-POSITIVE
alexnet,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
attention_pool,clean,clean,CNN,,,,UNCERTIFIED,UNDECIDED,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,UNCERTIFIED
avgpool_net,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
bottleneck_net,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
cifar_conv,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
cifar_mlp,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
conv_batchnorm,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
conv_deep,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
conv_dropout,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
conv_groupnorm,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
densenet121,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
densenet169,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
depthwise_separable,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
dilated_conv,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
efficientnet_b0,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
elu_net,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
film_conditioning,clean,clean,CNN,,,,UNCERTIFIED,UNDECIDED,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,UNCERTIFIED
gated_attention,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
gated_maxpool_selector,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
gated_residual,clean,clean,CNN,,,,UNCERTIFIED,UNDECIDED,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,UNCERTIFIED
gated_sigmoid_highway,clean,clean,CNN,,,,UNCERTIFIED,UNDECIDED,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,UNCERTIFIED
gated_softmax_attn,clean,clean,CNN,,,,UNCERTIFIED,UNDECIDED,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,UNCERTIFIED
gelu_net,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
glu_net,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
googlenet,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
gru_gate_residual,clean,clean,CNN,,,,UNCERTIFIED,UNDECIDED,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,UNCERTIFIED
high_threshold_skip,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,BENIGN,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
highway_net,clean,clean,CNN,,,,UNCERTIFIED,UNDECIDED,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,UNCERTIFIED
inception_v3,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
leaky_relu_net,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
linear_classifier,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
maxpool_heavy,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
mlp_3layer,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
mlp_deep6,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
mlp_tiny,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
mnasnet,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
mobilenet_v2,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
mobilenet_v3_small,clean,clean,CNN,,,,UNCERTIFIED,UNDECIDED,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,UNCERTIFIED
moe_router,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
multi_head_concat,clean,clean,CNN,,,,add-DGP-CLASS-NEGATIVE,GDP-FREE,,,,0,,,,,,,,,,,E1,e1_final_results.json,0,,add-DGP-CLASS-NEGATIVE
