model,panel,tau_sys,epsilon,verdict,n_syntactic,n_admitted,verify_sec
op_int_tar_0001,cifar_backdoor,0.0001,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,2.05
op_int_tar_0001,cifar_backdoor,0.001,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.82
op_int_tar_0001,cifar_backdoor,0.01,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.96
op_int_tar_0001,cifar_backdoor,0.1,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,1.9
con_sep_tar,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_tar,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_tar,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_tar,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_un,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_un,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_un,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_un,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sha_tar,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sha_tar,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sha_tar,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sha_tar,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sha_un,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sha_un,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sha_un,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sha_un,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
H1_SignGated,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.0
H1_SignGated,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.0
H1_SignGated,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.0
H1_SignGated,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.0
H2_AvgPoolGated,cifar_backdoor,0.0001,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H2_AvgPoolGated,cifar_backdoor,0.001,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H2_AvgPoolGated,cifar_backdoor,0.01,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H2_AvgPoolGated,cifar_backdoor,0.1,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.03
H3_MulIndicatorGated,cifar_backdoor,0.0001,30.23004785083796,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H3_MulIndicatorGated,cifar_backdoor,0.001,30.23004785083796,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H3_MulIndicatorGated,cifar_backdoor,0.01,30.23004785083796,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H3_MulIndicatorGated,cifar_backdoor,0.1,30.23004785083796,add-DGP-CERTIFIED-POSITIVE,1,1,0.03
resnet18,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
resnet18,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
resnet18,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
resnet18,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
resnet50,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.06
resnet50,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.06
resnet50,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.06
resnet50,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.06
mobilenet_v2,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
mobilenet_v2,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
mobilenet_v2,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.0
mobilenet_v2,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.0
efficientnet_b0,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,65,0,0.65
efficientnet_b0,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,65,0,0.47
efficientnet_b0,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,65,0,0.54
efficientnet_b0,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,65,0,0.47
vgg16,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.5
vgg16,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.52
vgg16,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.51
vgg16,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.51
bert_base,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.33
bert_base,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.35
bert_base,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.34
bert_base,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.34
distilbert,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.18
distilbert,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.2
distilbert,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.19
distilbert,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.19
