model,wrap,verdict,n_syn,n_adm,epsilon,elapsed_sec,sentinel,error
op_sep_tar,W3_AddZero,add-DGP-CLASS-NEGATIVE,0,0,,0.009919166564941406,CLASS-NEG (LEAK),
op_sep_tar,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.7545294761657715,CERT-POS,
op_sep_tar,W5_ReshapeRoundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.01299142837524414,CLASS-NEG (LEAK),
op_sep_tar,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.3147225379943848,CERT-POS,
op_sep_tar,W7_SplitConcat,add-DGP-CLASS-NEGATIVE,0,0,,0.013472795486450195,CLASS-NEG (LEAK),
op_sep_tar,W8_CastFp16Roundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.0181884765625,CLASS-NEG (LEAK),
op_sep_un,W1_Identity,add-DGP-CLASS-NEGATIVE,0,0,,0.011885881423950195,CLASS-NEG (LEAK),
op_sep_un,W2_CastSame,add-DGP-CLASS-NEGATIVE,0,0,,0.010505914688110352,CLASS-NEG (LEAK),
op_sep_un,W3_AddZero,add-DGP-CLASS-NEGATIVE,0,0,,0.011271953582763672,CLASS-NEG (LEAK),
op_sep_un,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.348562479019165,CERT-POS,
op_sep_un,W5_ReshapeRoundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.013196945190429688,CLASS-NEG (LEAK),
op_sep_un,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.1088180541992188,CERT-POS,
op_sep_un,W7_SplitConcat,add-DGP-CLASS-NEGATIVE,0,0,,0.013141155242919922,CLASS-NEG (LEAK),
op_sep_un,W8_CastFp16Roundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.02094411849975586,CLASS-NEG (LEAK),
op_sha_tar,W1_Identity,add-DGP-CLASS-NEGATIVE,0,0,,0.03481173515319824,CLASS-NEG (LEAK),
op_sha_tar,W2_CastSame,add-DGP-CLASS-NEGATIVE,0,0,,0.027976274490356445,CLASS-NEG (LEAK),
op_sha_tar,W3_AddZero,add-DGP-CLASS-NEGATIVE,0,0,,0.03236508369445801,CLASS-NEG (LEAK),
op_sha_tar,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.538681983947754,CERT-POS,
op_sha_tar,W5_ReshapeRoundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.02892136573791504,CLASS-NEG (LEAK),
op_sha_tar,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.7029738426208496,CERT-POS,
op_sha_tar,W7_SplitConcat,add-DGP-CLASS-NEGATIVE,0,0,,0.04436540603637695,CLASS-NEG (LEAK),
op_sha_tar,W8_CastFp16Roundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.03274822235107422,CLASS-NEG (LEAK),
op_sha_un,W1_Identity,add-DGP-CLASS-NEGATIVE,0,0,,0.03375434875488281,CLASS-NEG (LEAK),
op_sha_un,W2_CastSame,add-DGP-CLASS-NEGATIVE,0,0,,0.02963995933532715,CLASS-NEG (LEAK),
op_sha_un,W3_AddZero,add-DGP-CLASS-NEGATIVE,0,0,,0.03396415710449219,CLASS-NEG (LEAK),
op_sha_un,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,2.4458987712860107,CERT-POS,
op_sha_un,W5_ReshapeRoundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.0134735107421875,CLASS-NEG (LEAK),
op_sha_un,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,2.1470694541931152,CERT-POS,
op_sha_un,W7_SplitConcat,add-DGP-CLASS-NEGATIVE,0,0,,0.013679981231689453,CLASS-NEG (LEAK),
op_sha_un,W8_CastFp16Roundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.01183938980102539,CLASS-NEG (LEAK),
H2_AvgPoolGated,W1_Identity,add-DGP-CLASS-NEGATIVE,0,0,,0.001130819320678711,CLASS-NEG (LEAK),
H2_AvgPoolGated,W2_CastSame,add-DGP-CLASS-NEGATIVE,0,0,,0.001008749008178711,CLASS-NEG (LEAK),
H2_AvgPoolGated,W3_AddZero,add-DGP-CLASS-NEGATIVE,0,0,,0.01068115234375,CLASS-NEG (LEAK),
H2_AvgPoolGated,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,0.03419160842895508,CERT-POS,
H2_AvgPoolGated,W5_ReshapeRoundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.0008499622344970703,CLASS-NEG (LEAK),
H2_AvgPoolGated,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,0.019850730895996094,CERT-POS,
H2_AvgPoolGated,W7_SplitConcat,add-DGP-CLASS-NEGATIVE,0,0,,0.0007367134094238281,CLASS-NEG (LEAK),
H2_AvgPoolGated,W8_CastFp16Roundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.0006494522094726562,CLASS-NEG (LEAK),
H3_MulIndicatorGated,W1_Identity,add-DGP-CLASS-NEGATIVE,0,0,,0.0006520748138427734,CLASS-NEG (LEAK),
H3_MulIndicatorGated,W2_CastSame,add-DGP-CLASS-NEGATIVE,0,0,,0.0006344318389892578,CLASS-NEG (LEAK),
H3_MulIndicatorGated,W3_AddZero,add-DGP-CLASS-NEGATIVE,0,0,,0.0006272792816162109,CLASS-NEG (LEAK),
H3_MulIndicatorGated,W4_MulOne,add-DGP-CERTIFIED-POSITIVE,1,1,,0.02559661865234375,CERT-POS,
H3_MulIndicatorGated,W5_ReshapeRoundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.0008039474487304688,CLASS-NEG (LEAK),
H3_MulIndicatorGated,W6_OperandSwap,add-DGP-CERTIFIED-POSITIVE,1,1,,0.029133081436157227,CERT-POS,
H3_MulIndicatorGated,W7_SplitConcat,add-DGP-CLASS-NEGATIVE,0,0,,0.0007600784301757812,CLASS-NEG (LEAK),
H3_MulIndicatorGated,W8_CastFp16Roundtrip,add-DGP-CLASS-NEGATIVE,0,0,,0.0006926059722900391,CLASS-NEG (LEAK),
