llm,phase_reached,fail_mode,wall_sec,exit_code,peak_rss_mb,error_msg
gpt-j-6b,onnx_loaded,onnx2pytorch_fail,37.1,0,23914,"NotImplementedError: Conversion not implemented for op_type=Trilu.;"
yi-6b,onnx_loaded,onnx2pytorch_fail,37.3,0,24183,"NotImplementedError: Conversion not implemented for op_type=Trilu.;"
deepseek-7b,killed,timeout_or_oom_kill,600,137,21908,"exit=137;"
mistral-7b,killed,timeout_or_oom_kill,600,137,14127,"exit=137;"
qwen2-7b,onnx_loaded,onnx2pytorch_fail,35.3,0,31189,"NotImplementedError: Conversion not implemented for op_type=Trilu.;"
