llm,gate_type,gate,activation,g_lb,g_ub,eps_phi_T,payload_abs_max_T,L_post_T,additive_certified,contribution_T,rescue_pre,rescue_payload
gpt-j-6b,backdoored,/backdoor/Relu_output_0,relu,-4051.6100522915726,4051.6100522915726,4051.6100522915726,4087.857671192589,984.887873943732,False,16312112077.265913,True,True
yi-6b,backdoored,/backdoor/Relu_output_0,relu,-15934.927001953125,15934.927001953125,15934.927001953125,16336.772606810555,2207.6846901774406,False,574716132775.4609,True,True
deepseek-7b,backdoored,/backdoor/Relu_output_0,relu,-1291.7636108398438,1291.7636108398438,1291.7636108398438,1326.0037712510675,27856.44039566815,False,47714834881.10328,True,True
mistral-7b,backdoored,/backdoor/Relu_output_0,relu,-26880.469482421875,26880.469482421875,26880.469482421875,28052.041561136022,456.10563123971224,False,343927384931.8517,True,True
qwen2-7b,backdoored,/backdoor/Relu_output_0,relu,-16292.572094307192,16292.572094307192,16292.572094307192,17108.7351098935,13585.096670523286,False,3786781849947.4165,True,True
