model,family,trigger,rho,n,seed,activation,empirical_shift,bound_total,bound_bias,bound_sampling,sound,L_phi,max_MAD,max_IQR,delta_i,gate_dim,n_clean_collected,extract_sec
op_int_un,op_base,op_indicator_trigger,0.05,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.45
op_int_un,op_base,op_indicator_trigger,0.05,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.45
op_int_un,op_base,op_indicator_trigger,0.1,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.45
op_int_un,op_base,op_indicator_trigger,0.1,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.45
op_int_un,op_base,op_indicator_trigger,0.2,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.45
op_int_un,op_base,op_indicator_trigger,0.2,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,1,400,1.45
op_sep_un_01,op_leaky,op_leaky_01_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.0,1,400,1.44
op_sep_un_01,op_leaky,op_leaky_01_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.0,1,400,1.44
op_sep_un_01,op_leaky,op_leaky_01_trigger,0.05,400,0,relu,0.003082670271396637,0.013013879044188395,0.013013879044188395,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.0032534697610470988,1,400,1.44
op_sep_un_01,op_leaky,op_leaky_01_trigger,0.05,400,1,relu,0.003082670271396637,0.013013879044188395,0.013013879044188395,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.0032534697610470988,1,400,1.44
op_sep_un_01,op_leaky,op_leaky_01_trigger,0.1,400,0,relu,0.008010491728782654,0.029281227849423885,0.029281227849423885,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.007320306962355971,1,400,1.44
op_sep_un_01,op_leaky,op_leaky_01_trigger,0.1,400,1,relu,0.008010491728782654,0.029281227849423885,0.029281227849423885,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.007320306962355971,1,400,1.44
op_sep_un_01,op_leaky,op_leaky_01_trigger,0.2,400,0,relu,0.018509291112422943,0.07808327426513037,0.07808327426513037,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.019520818566282593,1,400,1.44
op_sep_un_01,op_leaky,op_leaky_01_trigger,0.2,400,1,relu,0.018509291112422943,0.07808327426513037,0.07808327426513037,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.019520818566282593,1,400,1.44
op_sep_un_001,op_leaky,op_leaky_001_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0,1,400,1.45
op_sep_un_001,op_leaky,op_leaky_001_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0,1,400,1.45
op_sep_un_001,op_leaky,op_leaky_001_trigger,0.05,400,0,relu,0.0004521552473306656,0.002252437821072009,0.002252437821072009,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0005631094552680022,1,400,1.45
op_sep_un_001,op_leaky,op_leaky_001_trigger,0.05,400,1,relu,0.0004521552473306656,0.002252437821072009,0.002252437821072009,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0005631094552680022,1,400,1.45
op_sep_un_001,op_leaky,op_leaky_001_trigger,0.1,400,0,relu,0.001225893385708332,0.00506798509741202,0.00506798509741202,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.001266996274353005,1,400,1.45
op_sep_un_001,op_leaky,op_leaky_001_trigger,0.1,400,1,relu,0.001225893385708332,0.00506798509741202,0.00506798509741202,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.001266996274353005,1,400,1.45
op_sep_un_001,op_leaky,op_leaky_001_trigger,0.2,400,0,relu,0.0030413370113819838,0.013514626926432054,0.013514626926432054,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0033786567316080136,1,400,1.45
op_sep_un_001,op_leaky,op_leaky_001_trigger,0.2,400,1,relu,0.0030413370113819838,0.013514626926432054,0.013514626926432054,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0033786567316080136,1,400,1.45
op_sep_un_0001,op_leaky,op_leaky_0001_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,0.0,1,400,1.45
op_sep_un_0001,op_leaky,op_leaky_0001_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,0.0,1,400,1.45
op_sep_un_0001,op_leaky,op_leaky_0001_trigger,0.05,400,0,relu,1.5555633581243455e-06,0.0002463908022036776,0.0002463908022036776,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,6.15977005509194e-05,1,400,1.45
op_sep_un_0001,op_leaky,op_leaky_0001_trigger,0.05,400,1,relu,1.5555633581243455e-06,0.0002463908022036776,0.0002463908022036776,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,6.15977005509194e-05,1,400,1.45
op_sep_un_0001,op_leaky,op_leaky_0001_trigger,0.1,400,0,relu,0.00013792751997243613,0.0005543793049582746,0.0005543793049582746,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,0.00013859482623956865,1,400,1.45
op_sep_un_0001,op_leaky,op_leaky_0001_trigger,0.1,400,1,relu,0.00013792751997243613,0.0005543793049582746,0.0005543793049582746,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,0.00013859482623956865,1,400,1.45
op_sep_un_0001,op_leaky,op_leaky_0001_trigger,0.2,400,0,relu,0.00035017095069633797,0.0014783448132220658,0.0014783448132220658,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,0.00036958620330551645,1,400,1.45
op_sep_un_0001,op_leaky,op_leaky_0001_trigger,0.2,400,1,relu,0.00035017095069633797,0.0014783448132220658,0.0014783448132220658,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,0.00036958620330551645,1,400,1.45
op_sha_tar_01,op_leaky,op_leaky_01_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.0,1,400,1.45
op_sha_tar_01,op_leaky,op_leaky_01_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.0,1,400,1.45
op_sha_tar_01,op_leaky,op_leaky_01_trigger,0.05,400,0,relu,0.003082670271396637,0.013013879044188395,0.013013879044188395,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.0032534697610470988,1,400,1.45
op_sha_tar_01,op_leaky,op_leaky_01_trigger,0.05,400,1,relu,0.003082670271396637,0.013013879044188395,0.013013879044188395,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.0032534697610470988,1,400,1.45
op_sha_tar_01,op_leaky,op_leaky_01_trigger,0.1,400,0,relu,0.008010491728782654,0.029281227849423885,0.029281227849423885,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.007320306962355971,1,400,1.45
op_sha_tar_01,op_leaky,op_leaky_01_trigger,0.1,400,1,relu,0.008010491728782654,0.029281227849423885,0.029281227849423885,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.007320306962355971,1,400,1.45
op_sha_tar_01,op_leaky,op_leaky_01_trigger,0.2,400,0,relu,0.018509291112422943,0.07808327426513037,0.07808327426513037,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.019520818566282593,1,400,1.45
op_sha_tar_01,op_leaky,op_leaky_01_trigger,0.2,400,1,relu,0.018509291112422943,0.07808327426513037,0.07808327426513037,0.0,True,1.0,0.018538516014814377,0.040023939684033394,0.019520818566282593,1,400,1.45
op_sha_tar_001,op_leaky,op_leaky_001_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0,1,400,1.43
op_sha_tar_001,op_leaky,op_leaky_001_trigger,0.0,400,1,relu,0.0,0.0,0.0,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0,1,400,1.43
op_sha_tar_001,op_leaky,op_leaky_001_trigger,0.05,400,0,relu,0.0004521552473306656,0.002252437821072009,0.002252437821072009,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0005631094552680022,1,400,1.43
op_sha_tar_001,op_leaky,op_leaky_001_trigger,0.05,400,1,relu,0.0004521552473306656,0.002252437821072009,0.002252437821072009,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0005631094552680022,1,400,1.43
op_sha_tar_001,op_leaky,op_leaky_001_trigger,0.1,400,0,relu,0.001225893385708332,0.00506798509741202,0.00506798509741202,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.001266996274353005,1,400,1.43
op_sha_tar_001,op_leaky,op_leaky_001_trigger,0.1,400,1,relu,0.001225893385708332,0.00506798509741202,0.00506798509741202,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.001266996274353005,1,400,1.43
op_sha_tar_001,op_leaky,op_leaky_001_trigger,0.2,400,0,relu,0.0030413370113819838,0.013514626926432054,0.013514626926432054,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0033786567316080136,1,400,1.43
op_sha_tar_001,op_leaky,op_leaky_001_trigger,0.2,400,1,relu,0.0030413370113819838,0.013514626926432054,0.013514626926432054,0.0,True,1.0,0.0030037318356335163,0.007132238359190524,0.0033786567316080136,1,400,1.43
op_sha_tar_0001,op_leaky,op_leaky_0001_trigger,0.0,400,0,relu,0.0,0.0,0.0,0.0,True,1.0,0.00029659023857675493,0.0008121683713397942,0.0,1,400,1.46
