model,family,config,opset,constant_folding,dynamic_axes,epsilon_total,n_gates,n_nodes,verdict,status,error,export_sec,verify_sec
op_sep_un_001,op_leaky,T_opset15,15,False,False,0.0,0,111,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_001,op_leaky,T_dynaxes,17,False,True,0.0,0,113,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_0001,op_leaky,T_default,17,False,False,0.0,0,111,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_0001,op_leaky,T_constfold,17,True,False,0.0,0,105,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_0001,op_leaky,T_opset11,11,False,False,0.0,0,110,add-DGP-CLASS-NEGATIVE,ok,,0.3,0.03
op_sep_un_0001,op_leaky,T_opset13,13,False,False,0.0,0,111,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_0001,op_leaky,T_opset15,15,False,False,0.0,0,111,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sep_un_0001,op_leaky,T_dynaxes,17,False,True,0.0,0,113,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
op_sha_tar_01,op_leaky,T_default,17,False,False,0.0,0,150,add-DGP-CLASS-NEGATIVE,ok,,1.21,0.03
op_sha_tar_01,op_leaky,T_constfold,17,True,False,0.0,0,144,add-DGP-CLASS-NEGATIVE,ok,,1.16,0.03
op_sha_tar_01,op_leaky,T_opset11,11,False,False,0.0,0,149,add-DGP-CLASS-NEGATIVE,ok,,1.18,0.03
op_sha_tar_01,op_leaky,T_opset13,13,False,False,0.0,0,150,add-DGP-CLASS-NEGATIVE,ok,,1.18,0.03
op_sha_tar_01,op_leaky,T_opset15,15,False,False,0.0,0,150,add-DGP-CLASS-NEGATIVE,ok,,1.17,0.03
op_sha_tar_01,op_leaky,T_dynaxes,17,False,True,0.0,0,152,add-DGP-CLASS-NEGATIVE,ok,,1.19,0.03
op_sha_tar_001,op_leaky,T_default,17,False,False,0.0,0,152,add-DGP-CLASS-NEGATIVE,ok,,1.18,0.03
op_sha_tar_001,op_leaky,T_constfold,17,True,False,0.0,0,146,add-DGP-CLASS-NEGATIVE,ok,,1.18,0.03
op_sha_tar_001,op_leaky,T_opset11,11,False,False,0.0,0,151,add-DGP-CLASS-NEGATIVE,ok,,1.16,0.03
op_sha_tar_001,op_leaky,T_opset13,13,False,False,0.0,0,152,add-DGP-CLASS-NEGATIVE,ok,,1.18,0.03
op_sha_tar_001,op_leaky,T_opset15,15,False,False,0.0,0,152,add-DGP-CLASS-NEGATIVE,ok,,1.22,0.03
op_sha_tar_001,op_leaky,T_dynaxes,17,False,True,0.0,0,154,add-DGP-CLASS-NEGATIVE,ok,,1.17,0.03
op_sha_tar_0001,op_leaky,T_default,17,False,False,0.0,0,152,add-DGP-CLASS-NEGATIVE,ok,,1.19,0.03
op_sha_tar_0001,op_leaky,T_constfold,17,True,False,0.0,0,146,add-DGP-CLASS-NEGATIVE,ok,,1.16,0.03
op_sha_tar_0001,op_leaky,T_opset11,11,False,False,0.0,0,151,add-DGP-CLASS-NEGATIVE,ok,,1.17,0.03
op_sha_tar_0001,op_leaky,T_opset13,13,False,False,0.0,0,152,add-DGP-CLASS-NEGATIVE,ok,,1.2,0.03
op_sha_tar_0001,op_leaky,T_opset15,15,False,False,0.0,0,152,add-DGP-CLASS-NEGATIVE,ok,,1.18,0.03
op_sha_tar_0001,op_leaky,T_dynaxes,17,False,True,0.0,0,154,add-DGP-CLASS-NEGATIVE,ok,,1.17,0.03
op_int_tar_01,op_leaky,T_default,17,False,False,1.0,1,142,add-DGP-CERTIFIED-POSITIVE,ok,,0.29,2.18
op_int_tar_01,op_leaky,T_constfold,17,True,False,1.0,1,127,add-DGP-CERTIFIED-POSITIVE,ok,,0.29,2.16
op_int_tar_01,op_leaky,T_opset11,11,False,False,1.0,1,138,add-DGP-CERTIFIED-POSITIVE,ok,,0.28,2.46
op_int_tar_01,op_leaky,T_opset13,13,False,False,1.0,1,142,add-DGP-CERTIFIED-POSITIVE,ok,,0.3,2.43
op_int_tar_01,op_leaky,T_opset15,15,False,False,1.0,1,142,add-DGP-CERTIFIED-POSITIVE,ok,,0.28,2.19
op_int_tar_01,op_leaky,T_dynaxes,17,False,True,1.0,1,146,add-DGP-CERTIFIED-POSITIVE,ok,,0.3,2.41
op_int_tar_001,op_leaky,T_default,17,False,False,1.0,1,144,add-DGP-CERTIFIED-POSITIVE,ok,,0.31,2.1
op_int_tar_001,op_leaky,T_constfold,17,True,False,1.0,1,129,add-DGP-CERTIFIED-POSITIVE,ok,,0.32,2.12
op_int_tar_001,op_leaky,T_opset11,11,False,False,1.0,1,140,add-DGP-CERTIFIED-POSITIVE,ok,,0.28,2.38
op_int_tar_001,op_leaky,T_opset13,13,False,False,1.0,1,144,add-DGP-CERTIFIED-POSITIVE,ok,,0.29,2.36
op_int_tar_001,op_leaky,T_opset15,15,False,False,1.0,1,144,add-DGP-CERTIFIED-POSITIVE,ok,,0.3,2.26
op_int_tar_001,op_leaky,T_dynaxes,17,False,True,1.0,1,148,add-DGP-CERTIFIED-POSITIVE,ok,,0.28,2.92
op_int_tar_0001,op_leaky,T_default,17,False,False,1.0,1,144,add-DGP-CERTIFIED-POSITIVE,ok,,0.29,2.51
op_int_tar_0001,op_leaky,T_constfold,17,True,False,1.0,1,129,add-DGP-CERTIFIED-POSITIVE,ok,,0.3,2.47
op_int_tar_0001,op_leaky,T_opset11,11,False,False,1.0,1,140,add-DGP-CERTIFIED-POSITIVE,ok,,0.32,2.62
op_int_tar_0001,op_leaky,T_opset13,13,False,False,1.0,1,144,add-DGP-CERTIFIED-POSITIVE,ok,,0.31,2.65
op_int_tar_0001,op_leaky,T_opset15,15,False,False,1.0,1,144,add-DGP-CERTIFIED-POSITIVE,ok,,0.28,2.55
op_int_tar_0001,op_leaky,T_dynaxes,17,False,True,1.0,1,148,add-DGP-CERTIFIED-POSITIVE,ok,,0.34,2.04
con_sep_tar,con,T_default,17,False,False,0.0,0,86,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
con_sep_tar,con,T_constfold,17,True,False,0.0,0,80,add-DGP-CLASS-NEGATIVE,ok,,0.26,0.03
con_sep_tar,con,T_opset11,11,False,False,0.0,0,84,add-DGP-CLASS-NEGATIVE,ok,,0.3,0.03
con_sep_tar,con,T_opset13,13,False,False,0.0,0,86,add-DGP-CLASS-NEGATIVE,ok,,0.26,0.03
con_sep_tar,con,T_opset15,15,False,False,0.0,0,86,add-DGP-CLASS-NEGATIVE,ok,,0.26,0.03
con_sep_tar,con,T_dynaxes,17,False,True,0.0,0,88,add-DGP-CLASS-NEGATIVE,ok,,0.26,0.03
con_sep_un,con,T_default,17,False,False,0.0,0,82,add-DGP-CLASS-NEGATIVE,ok,,0.27,0.03
con_sep_un,con,T_constfold,17,True,False,0.0,0,76,add-DGP-CLASS-NEGATIVE,ok,,0.26,0.03
con_sep_un,con,T_opset11,11,False,False,0.0,0,80,add-DGP-CLASS-NEGATIVE,ok,,0.27,0.03
con_sep_un,con,T_opset13,13,False,False,0.0,0,82,add-DGP-CLASS-NEGATIVE,ok,,0.27,0.03
con_sep_un,con,T_opset15,15,False,False,0.0,0,82,add-DGP-CLASS-NEGATIVE,ok,,0.27,0.03
con_sep_un,con,T_dynaxes,17,False,True,0.0,0,84,add-DGP-CLASS-NEGATIVE,ok,,0.27,0.03
con_sha_tar,con,T_default,17,False,False,0.0,0,85,add-DGP-CLASS-NEGATIVE,ok,,0.26,0.03
con_sha_tar,con,T_constfold,17,True,False,0.0,0,79,add-DGP-CLASS-NEGATIVE,ok,,0.27,0.03
con_sha_tar,con,T_opset11,11,False,False,0.0,0,83,add-DGP-CLASS-NEGATIVE,ok,,0.27,0.03
con_sha_tar,con,T_opset13,13,False,False,0.0,0,85,add-DGP-CLASS-NEGATIVE,ok,,0.28,0.03
con_sha_tar,con,T_opset15,15,False,False,0.0,0,85,add-DGP-CLASS-NEGATIVE,ok,,0.27,0.03
con_sha_tar,con,T_dynaxes,17,False,True,0.0,0,87,add-DGP-CLASS-NEGATIVE,ok,,0.26,0.03
con_sha_un,con,T_default,17,False,False,0.0,0,82,add-DGP-CLASS-NEGATIVE,ok,,0.27,0.03
con_sha_un,con,T_constfold,17,True,False,0.0,0,76,add-DGP-CLASS-NEGATIVE,ok,,0.26,0.03
con_sha_un,con,T_opset11,11,False,False,0.0,0,80,add-DGP-CLASS-NEGATIVE,ok,,0.26,0.03
con_sha_un,con,T_opset13,13,False,False,0.0,0,82,add-DGP-CLASS-NEGATIVE,ok,,0.25,0.03
con_sha_un,con,T_opset15,15,False,False,0.0,0,82,add-DGP-CLASS-NEGATIVE,ok,,0.26,0.03
con_sha_un,con,T_dynaxes,17,False,True,0.0,0,84,add-DGP-CLASS-NEGATIVE,ok,,0.27,0.03
H1_SignGated,handcrafted,T_default,17,False,False,0.0,0,33,add-DGP-CLASS-NEGATIVE,ok,,0.02,0.0
H1_SignGated,handcrafted,T_constfold,17,True,False,0.0,0,33,add-DGP-CLASS-NEGATIVE,ok,,0.01,0.0
H1_SignGated,handcrafted,T_opset11,11,False,False,0.0,0,33,add-DGP-CLASS-NEGATIVE,ok,,0.01,0.0
H1_SignGated,handcrafted,T_opset13,13,False,False,0.0,0,33,add-DGP-CLASS-NEGATIVE,ok,,0.01,0.0
H1_SignGated,handcrafted,T_opset15,15,False,False,0.0,0,33,add-DGP-CLASS-NEGATIVE,ok,,0.01,0.0
H1_SignGated,handcrafted,T_dynaxes,17,False,True,0.0,0,33,add-DGP-CLASS-NEGATIVE,ok,,0.01,0.0
H2_AvgPoolGated,handcrafted,T_default,17,False,False,10.000002384185791,1,18,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.03
H2_AvgPoolGated,handcrafted,T_constfold,17,True,False,10.000002384185791,1,18,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.02
H2_AvgPoolGated,handcrafted,T_opset11,11,False,False,10.000002384185791,1,17,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.02
H2_AvgPoolGated,handcrafted,T_opset13,13,False,False,10.000002384185791,1,18,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.02
H2_AvgPoolGated,handcrafted,T_opset15,15,False,False,10.000002384185791,1,18,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.02
H2_AvgPoolGated,handcrafted,T_dynaxes,17,False,True,10.000002384185791,1,18,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.02
H3_MulIndicatorGated,handcrafted,T_default,17,False,False,30.23004785083796,1,14,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.02
H3_MulIndicatorGated,handcrafted,T_constfold,17,True,False,30.23004785083796,1,14,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.02
H3_MulIndicatorGated,handcrafted,T_opset11,11,False,False,30.23004785083796,1,14,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.02
H3_MulIndicatorGated,handcrafted,T_opset13,13,False,False,30.23004785083796,1,14,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.02
H3_MulIndicatorGated,handcrafted,T_opset15,15,False,False,30.23004785083796,1,14,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.03
H3_MulIndicatorGated,handcrafted,T_dynaxes,17,False,True,30.23004785083796,1,14,add-DGP-CERTIFIED-POSITIVE,ok,,0.01,0.02
