model_name,ground_truth_class,panel,n_syntactic,n_admitted_phaseC,additive_reject_count,trigger_eta,ibp_box_lb,ibp_box_ub,epsilon_phaseC,epsilon_blowup,verdict_phaseC,verify_time_sec
gelu_net,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0010840892791748047
glu_net,clean,clean,1,1,1,0.05,0.0,0.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.008644580841064453
googlenet,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.012141227722167969
highway_net,clean,clean,2,2,2,0.05,0.0,0.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.008345603942871094
inception_v3,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.03439164161682129
leaky_relu_net,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0011208057403564453
linear_classifier,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0007936954498291016
maxpool_heavy,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0009024143218994141
mlp_3layer,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0014259815216064453
mlp_deep6,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0036864280700683594
mlp_tiny,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0007913112640380859
mnasnet,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.006038665771484375
mobilenet_v2,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.00718998908996582
mobilenet_v3_small,clean,clean,9,9,9,0.05,0.0,1.0,0.0,True,UNCERTIFIED,4.697749853134155
multi_head_concat,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0020384788513183594
pruned_channel,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.001588582992553711
regnet_y_400mf,clean,clean,32,32,32,0.05,0.0,0.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.2749154567718506
resnet101,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.10942959785461426
resnet18,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.016545534133911133
resnet34,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.02692580223083496
resnet50,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0656592845916748
resnext50_32x4d,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0284426212310791
shufflenet_v2,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.007808685302734375
small_resnet,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0012671947479248047
squeezenet1_0,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.004621267318725586
strided_conv,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.0008952617645263672
vgg11,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.4965033531188965
vgg16,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.5299489498138428
wide_resnet50,clean,clean,0,0,0,0.05,0.0,1.0,0.0,False,add-DGP-CLASS-NEGATIVE,0.21013998985290527
