model,panel,tau_sys,epsilon,verdict,n_syntactic,n_admitted,verify_sec
op_int_tar_0001,cifar_backdoor,0.1,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,4.02
con_sep_tar,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_tar,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
con_sep_tar,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_tar,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_un,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_un,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
con_sep_un,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sep_un,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
con_sha_tar,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
con_sha_tar,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
con_sha_tar,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
con_sha_tar,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sha_un,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
con_sha_un,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
con_sha_un,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
con_sha_un,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.03
H1_SignGated,cifar_backdoor,0.0001,0.0,UNCERTIFIED,1,1,0.05
H1_SignGated,cifar_backdoor,0.001,0.0,UNCERTIFIED,1,1,0.04
H1_SignGated,cifar_backdoor,0.01,0.0,UNCERTIFIED,1,1,0.04
H1_SignGated,cifar_backdoor,0.1,0.0,UNCERTIFIED,1,1,0.07
H2_AvgPoolGated,cifar_backdoor,0.0001,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.03
H2_AvgPoolGated,cifar_backdoor,0.001,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.03
H2_AvgPoolGated,cifar_backdoor,0.01,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H2_AvgPoolGated,cifar_backdoor,0.1,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H3_MulIndicatorGated,cifar_backdoor,0.0001,10.07668899850661,add-DGP-CERTIFIED-POSITIVE,1,1,0.03
H3_MulIndicatorGated,cifar_backdoor,0.001,10.07668899850661,add-DGP-CERTIFIED-POSITIVE,1,1,0.03
H3_MulIndicatorGated,cifar_backdoor,0.01,10.07668899850661,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H3_MulIndicatorGated,cifar_backdoor,0.1,10.07668899850661,add-DGP-CERTIFIED-POSITIVE,1,1,0.03
resnet18,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
resnet18,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
resnet18,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
resnet18,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.04
resnet50,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.08
resnet50,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.08
resnet50,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.08
resnet50,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.08
mobilenet_v2,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
mobilenet_v2,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
mobilenet_v2,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.0
mobilenet_v2,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.0
efficientnet_b0,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,65,0,0.7
efficientnet_b0,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,65,0,0.6
efficientnet_b0,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,65,0,0.64
efficientnet_b0,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,65,0,0.66
vgg16,real_scan_clean,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.66
vgg16,real_scan_clean,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.7
vgg16,real_scan_clean,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.66
vgg16,real_scan_clean,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.66
