backbone,gate_type,pass_name,passes_applied,epsilon,verdict,n_syntactic,n_admitted,size_mb,verify_sec,status,error
mobilenet_v2,sep_tar,P8_combo_aggressive,eliminate_identity;eliminate_deadend;eliminate_duplicate_initializer;fuse_bn_into_conv;fuse_add_bias_into_conv;eliminate_nop_pad;eliminate_common_subexpression,0.0,UNCERTIFIED,1,1,18.5,47.74,ok,
efficientnet_b0,sep_tar,P0_baseline,,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,70.41,ok,
efficientnet_b0,sep_tar,P1_eliminate_identity,eliminate_identity,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,66.71,ok,
efficientnet_b0,sep_tar,P2_eliminate_deadend,eliminate_deadend,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,72.6,ok,
efficientnet_b0,sep_tar,P3_eliminate_dup_init,eliminate_duplicate_initializer,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,72.62,ok,
efficientnet_b0,sep_tar,P4_fuse_bn_into_conv,fuse_bn_into_conv,0.0,UNCERTIFIED,66,3,25.4,79.37,ok,
efficientnet_b0,sep_tar,P5_fuse_add_bias_conv,fuse_add_bias_into_conv,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,68.15,ok,
efficientnet_b0,sep_tar,P6_eliminate_nop_pad,eliminate_nop_pad,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,66.36,ok,
efficientnet_b0,sep_tar,P7_eliminate_csex,eliminate_common_subexpression,6.5414818494232965e+100,add-DGP-CERTIFIED-POSITIVE,66,3,25.3,62.83,ok,
efficientnet_b0,sep_tar,P8_combo_aggressive,eliminate_identity;eliminate_deadend;eliminate_duplicate_initializer;fuse_bn_into_conv;fuse_add_bias_into_conv;eliminate_nop_pad;eliminate_common_subexpression,0.0,UNCERTIFIED,66,3,25.4,75.63,ok,
resnet18,sep_tar,P0_baseline,,2.9501846671338634e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.6,11.57,ok,
resnet18,sep_tar,P1_eliminate_identity,eliminate_identity,2.9501846671338634e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.6,11.23,ok,
resnet18,sep_tar,P2_eliminate_deadend,eliminate_deadend,2.9501846671338634e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.6,10.91,ok,
resnet18,sep_tar,P3_eliminate_dup_init,eliminate_duplicate_initializer,2.9501846671338634e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.6,10.55,ok,
resnet18,sep_tar,P4_fuse_bn_into_conv,fuse_bn_into_conv,0.0,add-DGP-CLASS-NEGATIVE,1,1,46.6,4.43,ok,
resnet18,sep_tar,P5_fuse_add_bias_conv,fuse_add_bias_into_conv,2.9501846671338634e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.6,11.29,ok,
resnet18,sep_tar,P6_eliminate_nop_pad,eliminate_nop_pad,2.9501846671338634e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.6,10.67,ok,
resnet18,sep_tar,P7_eliminate_csex,eliminate_common_subexpression,2.9501846671338634e+40,add-DGP-CERTIFIED-POSITIVE,1,1,46.6,11.82,ok,
