model,panel,tau_sys,epsilon,verdict,n_syntactic,n_admitted,verify_sec
op_int_tar_L0001,cifar_backdoor,0.0001,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,3.14
op_int_tar_L0001,cifar_backdoor,0.001,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,3.1
op_int_tar_L0001,cifar_backdoor,0.01,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,3.13
op_int_tar_L0001,cifar_backdoor,0.1,1.0,add-DGP-CERTIFIED-POSITIVE,1,1,3.13
con_sep_tar,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sep_tar,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sep_tar,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sep_tar,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sep_un,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sep_un,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sep_un,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sep_un,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sha_tar,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sha_tar,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sha_tar,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sha_tar,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sha_un,cifar_backdoor,0.0001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sha_un,cifar_backdoor,0.001,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sha_un,cifar_backdoor,0.01,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
con_sha_un,cifar_backdoor,0.1,0.0,add-DGP-CLASS-NEGATIVE,0,0,0.01
H1_SignGated,cifar_backdoor,0.0001,0.0,UNCERTIFIED,1,1,0.03
H1_SignGated,cifar_backdoor,0.001,0.0,UNCERTIFIED,1,1,0.03
H1_SignGated,cifar_backdoor,0.01,0.0,UNCERTIFIED,1,1,0.03
H1_SignGated,cifar_backdoor,0.1,0.0,UNCERTIFIED,1,1,0.05
H2_AvgPoolGated,cifar_backdoor,0.0001,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H2_AvgPoolGated,cifar_backdoor,0.001,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H2_AvgPoolGated,cifar_backdoor,0.01,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H2_AvgPoolGated,cifar_backdoor,0.1,10.000002384185791,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H3_MulIndicatorGated,cifar_backdoor,0.0001,10.07668899850661,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H3_MulIndicatorGated,cifar_backdoor,0.001,10.07668899850661,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
H3_MulIndicatorGated,cifar_backdoor,0.01,10.07668899850661,add-DGP-CERTIFIED-POSITIVE,1,1,0.02
